English,Korean
making,만들기
body,몸
afraid,두려워하는
sleep,잠
chance,가능성
dear,~에게
quite,상당히
four,네
anyway,그래도
close,닫다
ain,ain
party,파티
fun,재미있는
against,~에 맞서
word,단어
comes,온다
important,중요한
set,세트
shall,~일 것이다
story,이야기
number,숫자
daughter,딸
least,최소
waiting,대기 중
hurt,아프다
wish,소망
moment,순간
fight,싸움
week,주
husband,남편
girls,여자
rest,나머지
married,기혼
fire,불
game,게임
nobody,아무도
mr,~ 씨
children,어린이들
side,옆
stand,서다
read,읽다
though,그렇지만
cut,자르다
started,시작
sister,자매
supposed,추정된
between,~ 사이
child,어린이
goes,간다
hours,시간
speak,말하다
women,여성
behind,뒤에
almost,거의
truth,진실
blood,피
able,할 수 있는
lady,숙녀
anymore,더 이상
playing,놀이
gets,얻는다
shot,발사
reason,이유
trouble,문제
break,부서지다
war,전쟁
city,도시
walk,걷다
town,도시
trust,신뢰하다
dr.,박사
met,만났다
office,사무실
question,질문
brought,가져왔다
yours,당신 것
welcome,환영
high,높은
wow,우와
couple,커플
half,반
died,사망 한
cool,시원한
free,무료
either,어느 하나
seems,보인다
power,힘
whoa,우와
bye,안녕
buy,구입하다
telling,말함
honey,꿀
tried,시험을 마친
front,앞쪽
team,팀
answer,답변
gun,총
boys,소년들
line,선
send,보내다
news,소식
stupid,멍청한
bed,침대
hurry,서두르다
full,가득한
months,달
save,구하다
sometimes,때때로
become,~이 되다
along,~을 따라
hate,싫어하다
food,음식
outside,밖의
light,빛
needs,필요합니다
dog,개
country,국가
clear,분명한
order,주문하다
em,여자 이름
fact,사실
lord,주님
captain,선장
six,육
hot,더운
funny,재미있는
black,검은색
mrs.,부인.
alive,살아 있는
pick,선택하다
feeling,감정
living,생활
cause,원인
ahead,앞으로
lose,잃다
king,왕
plan,계획
dinner,저녁
sighs,한숨
sort,종류
leaving,퇴거
shouldn,하지 말아야합니다
running,달리기
boss,사장
alright,괜찮은
promise,약속하다
taken,촬영
safe,안전한
ma,엄마
book,책
sent,전송된
white,하얀색
hour,시간
anybody,아무도
small,작은
perfect,완벽한
cause,원인
lives,살아
special,특별한
parents,부모
john,남자
himself,그 자신
perhaps,아마도
sounds,소리
serious,심각한
sick,아픈
company,회사
ha,하아
scared,무서운
uncle,삼촌
poor,가난한
red,빨간색
past,과거
earth,지구
possible,가능한
shoot,사격
touch,만지다
sound,소리
top,맨 위
ass,나귀
laughs,웃음
cannot,할 수 없습니다
asking,질문
win,이기다
glad,기쁜
control,제어
hmm,흠
human,인간
drive,운전하다
hair,머리카락
jack,잭
bitch,암캐
luck,운
murder,살인
happens,발생합니다
air,공기
ten,십
daddy,아빠
finally,마지막으로
chuckles,웃음
fast,빠른
cold,추운
seem,~인 것 같다
laughing,웃음
words,단어
hospital,병원
street,거리
hang,걸다
dance,춤
meeting,회의
till,...까지
others,기타
catch,잡다
follow,따르다
sense,감각
sex,섹스
lie,거짓말하다
evening,저녁
master,주인
known,모두 다 아는
dream,꿈
write,쓰다
million,백만
voice,목소리
sweet,달콤한
rather,꽤
felt,펠트
lucky,운이 좋은
somewhere,어딘가에
bet,내기
o,영형
jesus,예수
longer,더 길게
calling,부름
worked,일했다
quiet,조용한
looked,보였다
less,더 적은
pull,당기다
beat,이기다
careful,주의 깊은
coffee,커피
return,반품
secret,비밀
weeks,주
weren,weren
date,날짜
seeing,봄
fall,떨어지다
given,주어진
ooh,오
fault,잘못
straight,똑바로
takes,테이크
song,노래
future,미래
gentlemen,신사
loved,사랑
changed,변경
road,도로
calm,침착한
wonderful,아주 멋진
mad,미친
turned,돌린
drop,떨어지다
ladies,숙녀
learn,배우다
step,단계
absolutely,전적으로
early,일찍
explain,설명하다
clean,깨끗한
piece,조각
yesterday,어제
throw,던지다
picture,그림
land,땅
feet,피트
wonder,궁금하다
questions,질문
speaking,말하기
worth,가치
darling,여보
dude,녀석
giving,기부
president,대통령
eye,눈
quick,빠른
moving,움직이는
figure,수치
state,상태
strong,강한
sam,샘
none,없음
amazing,놀라운
ones,하나
works,공장
act,행동
needed,필요합니다
weird,기이한
law,법
worried,걱정하는
report,보고서
goodbye,안녕히 가세요
missing,없어진
choice,선택
happening,사고
chief,셰프
wedding,혼례
strange,이상한
general,일반적인
pain,통증
am,~이다
kidding,농담
decided,결정했다
ya,당신
pass,통과하다
tired,피곤한
class,수업
officer,장교
kept,유지된
wake,일어나 다
worse,더 나쁜
busy,바쁘다
mistake,실수
kiss,키스
court,법원
building,건물
finish,마치다
during,~ 동안
age,나이
ship,배
caught,잡았다
marry,결혼하다
meant,의미했다 
sell,팔다
dark,어두운
watching,보고 있다
system,체계
suppose,가정하다
evidence,증거
movie,영화
ride,타다
completely,완전히
mouth,입
totally,완전히
birthday,생일
tv,TV
forgive,용서하다
born,태어나다
imagine,상상하다
information,정보
instead,대신에
definitely,분명히
security,보안
certainly,틀림없이
film,영화
month,월
lying,거짓말하는
unless,~하지 않는 한
train,기차
seven,일곱
wear,입다
clothes,옷
michael,남자 이름
hotel,호텔
christmas,크리스마스
attack,공격
hasn,Hasn
round,둥근
expect,예상하다
sing,노래하다
terrible,끔찍한
george,성 조지
bag,가방
history,역사
blue,파란색
near,가까운
broke,파산
station,역
seriously,진지하게
forever,영원히
david,데이비드
frank,솔직한
except,제외하고
thinks,생각합니다
message,메시지
entire,전체
joe,조
table,테이블
talked,이야기했다
across,가로질러
rock,바위
lovely,사랑스러운
handle,핸들
middle,가운데
buddy,친구
paid,유급의
protect,보호하다
using,사용
floor,바닥
ran,달렸다
swear,욕을 하다
spend,경비
situation,상황
ring,반지
anywhere,어딘가에
dangerous,위험한
bill,청구서
york,요크
army,군대
lead,선두
bought,구입했다
finished,완성된
fair,공정한
sun,해
letter,편지
fool,바보
attention,주목
club,클럽
simple,단순한
interesting,흥미로운
space,공간
test,시험
box,상자
group,그룹
single,하나의
sitting,좌석
marriage,결혼
join,가입하다
fear,두려움
peace,평화
forgot,잊어버렸다
force,힘
short,짧은
normal,정상
charlie,백인
present,현재의
enjoy,즐기다
mike,마이크
crime,범죄
horse,말
ground,지면
american,미국 사람
count,세다
area,영역
charge,요금
honor,명예
lunch,점심
miles,마일
radio,라디오
idiot,바보
ball,공
surprise,놀라다
paper,종이
key,열쇠
boat,보트
quickly,빠르게
gold,금
bar,술집
fish,물고기
mark,표시
tom,톰
wearing,착용
crying,울음소리
accident,사고
government,정부
eight,여덟
fell,쓰러뜨리다
cover,씌우다
certain,확실한
interested,관심 있는
deep,깊은
star,별
sea,바다
agree,동의하다
problems,문제
detective,형사
prison,감옥
major,주요한
stick,막대
offer,권하다
difficult,어려운
smart,똑똑한
personal,개인의
record,기록
stopped,멈췄다
hide,숨다
whether,~이든
bank,은행
trip,여행
relax,안심하다
america,미국
public,공공의
list,목록
afternoon,오후
brain,뇌
fix,고치다
bastard,새끼
proud,자랑스러운
tea,차
service,서비스
screaming,외침
forward,앞으로
angry,화난
park,공원
soul,영혼
fighting,화이팅
peter,베드로
rich,부자
agent,대리인
blow,불다
paul,폴
dress,드레스
mary,메리
missed,놓쳤다
scene,장면
killing,죽이는
standing,서 있는
saved,저장
mm,mm
respect,존경
killer,살인자
ice,얼음
mess,엉망
tough,힘든
feels,느낌
church,교회
sad,슬퍼
cell,셀
drunk,술 취한
share,공유하다
camera,카메라
mm-hmm,MM-흠
within,이내에
card,카드
fly,파리
girlfriend,여자 친구
laugh,웃다
smell,냄새가 나다
broken,고장난
mum,침묵
honest,솔직한
often,자주
starting,시작
calls,전화
spent,지출
third,제삼
english,영어
visit,방문하다
mama,엄마
judge,판사
window,창문
hungry,배고픈
dare,도전
relationship,관계
moved,움직이는
prove,입증하다
private,사적인
wall,벽
seat,좌석
position,위치
lieutenant,대장 보좌
realize,깨닫다
especially,특히
machine,기계
walking,걷는
art,미술
pleasure,기쁨
bloody,피의
college,대학
french,프랑스 국민
involved,관련된
cry,울다
became,~가 되었다
lived,살았다
impossible,불가능한
obviously,확실히
neither,어느 것도 아니다
accept,수용하다
boyfriend,남자 친구
besides,게다가
queen,여왕
teacher,선생님
cops,경찰
sake,동기
loves,사랑
carry,나르다
teach,가르치다
apartment,아파트
upset,속상한
green,녹색
liked,좋아했습니다
cute,귀여운
evil,사악한
professor,교수
contact,연락하다
joke,농담
cop,순경
huge,거대한
holy,거룩한
store,가게
jail,교도소
likes,좋아합니다
lawyer,변호사
doubt,의심
continue,계속하다
appreciate,고마워하다
cat,고양이
shop,가게
driving,운전
congratulations,축하해요
wrote,썼다
village,마을
quit,그만두다
field,필드
james,제임스
wine,와인
decision,결정
south,남쪽
sleeping,자고 있는
slow,느린
laughter,웃음
island,섬
glass,유리
beginning,시작
cash,현금
dying,사망
hundred,백
whose,누구
difference,차이점
plane,비행기
push,푸시
continues,계속합니다
mmm,음
singing,명음
eating,식사
north,북쪽
mrs,부인
tree,나무
madam,부인
gift,선물
truck,트럭
putting,퍼팅
bear,곰
board,판자
grab,붙잡다
beer,맥주
stuck,갇힌
magic,마법
support,지원하다
rules,규칙
grunts,그런트
partner,파트너
reach,도달하다
wind,바람
colonel,대령
max,맥스
immediately,즉시
seconds,초
thousand,천
gives,주어진다
experience,경험
cheers,건배
victim,피해자
upon,...에
computer,컴퓨터
christ,그리스도
planet,행성
promised,약속
bus,버스
henry,헨리
dirty,더러운
search,찾다
staying,체재
dreams,꿈
arrest,체포
holding,보유
suddenly,갑자기
usually,대개
lots,많이
shoes,신발
jump,도약
rid,제거하다
knock,노크
owe,빚지다
harry,괴롭히다
grow,자라다
worst,최악의
river,강
aunt,이모
patient,인내심 있는
kitchen,주방
fat,지방
passed,통과
final,결정적인
summer,여름
listening,청취
escape,탈출하다
everywhere,어디에나
moon,달
arms,무기
turns,회전
address,주소
match,성냥
gasps,가스
grand,멋진
yep,네
nervous,불안한
choose,선택하다
themselves,그들 자신
decide,결정하다
mate,친구
drinking,음주
press,누르다
bother,신경 쓰다
foot,발
hadn,Hadn
blame,탓하다
crap,쓰레기
drugs,약제
type,유형
rings,반지
mission,사명
named,명명 된
heaven,천국
picked,선택
paris,파리
race,경주
risk,위험
books,서적
further,더 나아가
danny,대니
action,행동
allowed,허용된
orders,명령
learned,배웠습니다
price,가격
arrived,도착했다
nick,건강 상태
otherwise,그렇지 않으면
pictures,영화
fit,맞다
smoke,연기
favor,호의
played,연주
notice,알아채다
awesome,엄청난
smile,웃다
director,감독
guard,경비원
begin,시작하다
spot,점
surprised,놀란
innocent,순결한
narrator,내레이터
london,런던
feelings,감정
enemy,적
battle,전투
ourselves,우리 스스로
alex,알렉스
dollars,불화
allow,허용하다
nine,아홉
gay,게이
department,부서
guilty,죄책감이 드는
apart,따로
earlier,더 일찍
duty,의무
jim,짐
suit,정장
bell,벨
west,서쪽
legs,다리
hero,영웅
destroy,파괴하다
stage,단계
bunch,다발
according,~에 따라
chicken,닭
bigger,더 큰
grunting,그런 런팅
low,낮은
helping,거들기
admit,인정하다
closed,닫은
names,이름
witness,증인
upstairs,높은 곳에 있는
arm,팔
steal,훔치다
jimmy,조립식 쇠지레
kick,발 차기
twice,두 배
cross,십자가
ways,방법
sergeant,중사
indeed,물론
gas,가스
keeping,유지
energy,에너지
pregnant,임신한
waste,쓰레기
helped,도움이되었습니다
fired,해고
favorite,가장 좋아하는
taste,맛
locked,잠겨 있습니다
places,장소
writing,글쓰기
adam,아담
brothers,형제
starts,시작
prince,왕자
form,형태
sold,판매된
silly,바보 같은
mention,언급하다
build,짓다
throat,목
hole,구멍
figured,문채 있는
track,길
ringing,울리는
lock,잠그다
leg,다리
above,~ 위에
hiding,숨김
steve,스티브
seemed,보였다
breakfast,아침
engine,엔진
written,쓴
complete,완벽한
video,동영상
applause,박수 갈채
however,하지만
pressure,압력
fresh,신선한
weapon,무기
sky,하늘
study,공부하다
burn,불타다
reading,독서
crowd,군중
treat,대하다
roll,롤
double,더블
spirit,영혼
danger,위험
cost,비용
empty,비어 있는
level,수준
memory,메모리
itself,그 자체
acting,연기
interest,관심
nose,코
plans,계획
following,수행원
bathroom,화장실
built,세워짐
closer,더 가깝습니다
band,밴드
groans,신음 소리
apparently,보기에
excited,흥분한
losing,지는
animals,동물
flight,비행
nature,자연
raise,들어올리다
pop,팝
client,고객
bomb,폭탄
neck,목
suspect,의심하다
warm,따뜻한
extra,추가의
bottle,병
van,봉고차
heavy,무거운
mommy,엄마
dogs,개
wild,야생의
ridiculous,말도 안 되는
simply,간단히
animal,동물
showed,보여 주었다
billy,곤봉
shooting,촬영
keeps,유지
camp,캠프
guns,총포
medical,의료
shame,창피
hoping,바라고
whom,누구
bird,새
majesty,위엄
flowers,꽃들
famous,유명한
asleep,죽어
beauty,아름다움
driver,운전사
keys,열쇠
rain,비
awful,끔찍한
large,크기가 큰
local,현지의
deserve,~ 받을 만하다
goddamn,젠장
stone,결석
jane,계집애
grace,우아함
consider,고려하다
weekend,주말
wondering,궁금합니다
lay,놓다
plenty,풍부한
willing,자발적인
pants,바지
sweetheart,여보
skin,피부
excellent,훌륭한
asshole,항문
beach,해변
faith,믿음
beg,빌다
fuckin,젠장
responsible,책임이 있는
military,군대
cheering,응원
opportunity,기회
common,흔한
bottom,맨 아래
german,독일 사람
whoever,누구나
cook,요리하다
walked,걸었다
papers,서류
justice,정당성
hall,홀
commander,사령관
drug,의약품
main,기본
knife,칼
devil,악마
necessary,필요한
although,하지만
princess,공주
lights,등
flying,나는
dick,형사
rose,장미
knowing,앎
clearly,분명히
hat,모자
agreed,동의했다
johnny,남자
corner,모서리
code,암호
note,메모
tommy,나사 돌리개
due,~로 인한
correct,옳은
apologize,사과하다
language,언어
stars,별
faster,더 빠르게
cars,자동차
folks,사람들
bullshit,엉터리
fellow,사람
several,여러 개의
grandma,할머니
shows,쇼
leader,지도자
leaves,나뭇잎
restaurant,식당
east,동쪽
shouting,외침
blind,눈이 먼
ghost,귀신
cup,컵
gotten,얻었다
tight,단단한
conversation,대화
tells,말한다
lies,거짓말
nor,...도 아니다
pulled,당겨졌다
hanging,교수형
speed,속도
stories,이야기
health,건강
advice,조언
held,유지된
murdered,살해
beyond,그 너머에
rule,규칙
hardly,거의 ~ 아니다
possibly,혹시
inspector,조사관
cousin,사촌
trial,재판
emergency,비상
somehow,어떻게든
hearing,듣기
states,주
account,계정
spoke,살
file,파일
understood,이해했다
angel,천사
tape,줄자
milk,우유
powerful,강한
weapons,무기
practice,관행
manager,관리자
pardon,뭐라고요
vote,투표
jake,제이크
national,국가의
career,직업
minister,장관
super,감독자
taught,지도 받은
robert,로버트
biggest,가장 큰
plays,연극
natural,자연스러운
dancing,댄스
copy,복사
plus,...을 더한
martin,남자 이름
cake,케이크
freedom,자유
among,~ 중에
breath,호흡
operation,작업
chris,크리스
crew,승무원
challenge,도전
market,시장
meat,고기
towards,...쪽으로
bringing,가져 오기
dropped,떨어졌다
student,학생
strength,힘
size,크기
breathe,숨 쉬다
color,색상
monster,괴물
loud,시끄러운
photo,사진
nearly,거의
sight,시력
greatest,가장 큰
games,계략
bridge,다리
dressed,옷을 입고
arrested,체포 된
horrible,끔찍한
coach,코치
planning,계획
checked,확인
breaking,파괴
noticed,눈치 채 셨습니다
fantastic,환상적입니다
screams,비명
serve,제공하다
ideas,아이디어
investigation,조사
center,센터
older,더 오래
pack,팩
soldiers,군인
nonsense,무의미한 말
doc,문서
project,프로젝트
training,훈련
example,예
trick,장난
prepared,준비
science,과학
united,연합
travel,여행하다
incredible,믿을 수 없는
grandpa,할아버지
paying,지불
character,성격
teeth,이
criminal,범인
charles,찰스
chinese,중국인
truly,진심으로
honestly,솔직히
bro,형
survive,생존하다
bobby,순경
target,표적
feed,밥을 먹이다
nurse,간호사
fake,가짜
records,기록
breathing,호흡
sweetie,사탕
numbers,숫자
oil,기름
suicide,자살
belong,제자리에 있다
whoo,우
perfectly,아주
amy,에이미
forgotten,잊혀진
remain,유지하다
original,원래의
papa,아빠
onto,에
concerned,관심 있는
credit,신용 거래
invited,초대
discuss,논의하다
research,연구
easier,더 쉬운
view,보다
chair,의자
hurts,아파요
strike,스트라이크
roger,알았다
fill,채우다
condition,상태
mountain,산
dr,박사
nowhere,아무데도 없습니다
sheriff,주 장관
turning,선회
brown,갈색
recognize,인정하다
heads,머리
audience,청중
all,모두
jealous,질투하는
pretend,~인 척하다
society,사회
finding,발견
shirt,셔츠
comfortable,편안한
meaning,의미
guest,손님
pieces,조각
dry,마른
letting,하자
began,시작했다
aye,찬성
jeff,제프
female,여성
release,풀어 주다
cards,카드
pray,기도하다
unfortunately,안타깝게도
balls,불알
destroyed,파괴됨
ended,끝났다
universe,우주
prepare,준비하다
opinion,의견
movies,영화 산업
soldier,군인
wash,씻다
program,프로그램
heat,열
usual,보통의
ticket,티켓
stolen,훔친
prefer,선호하다
aware,알고 있는
surely,확실히
male,남성
base,베이스
matters,문제
lift,승강기
lab,랩
command,명령
proof,증거
cream,크림
selling,판매
believed,믿었습니다
create,만들다
afford,여유가 되다
sunday,일요일
total,총
dumb,멍청한
threw,던졌다
france,프랑스
birth,출생
created,만들어진
realized,실현되었습니다
british,영국
noise,소음
nuts,견과류
students,재학생
birds,조류
social,사회의
brilliant,멋진
bodies,시체
tie,묶다
opened,열렸다
ours,우리 것
bucks,벅스
kevin,케빈
mister,아저씨
ugly,못생긴
focus,집중하다
exist,존재하다
followed,따라 갔다
england,영국
draw,그리다
purpose,목적
letters,편지
daniel,다니엘
opening,열리는
bullet,총알
anna,안나
lately,최근에
stayed,머물렀다
falling,떨어지는
season,계절
ends,끝
suggest,제안하다
joy,기쁨
distance,거리
responsibility,책임
whenever,언제든지
issue,문제
thousands,수천
process,프로세스
sword,검
shower,샤워
weak,약한
fucked,젠장
lonely,외로운
happiness,행복
eric,에릭
tiny,매우 작은
desk,책상
pool,수영장
property,재산
forced,강요된
settle,해결하다
indistinct,불분명합니다
weight,무게
received,받았다
bite,깨물다
friday,금요일
disappeared,사라졌다
interview,회견
expecting,기대합니다
surgery,수술
horses,말
mayor,시장
babe,아기
ancient,고대의
handsome,멋있는
thomas,도마
saturday,토요일
staff,직원
lines,윤곽
unit,단위
fan,팬
gentleman,신사
introduce,소개하다
fate,운명
split,나뉘다
recently,최근에
expected,예상되는
add,추가하다
ordered,주문
slowly,느리게
alarm,경보
member,회원
slept,잤다
signed,서명
enter,입력하다
spanish,스페인의
garden,정원
brings,가져옵니다
brave,용감한
pig,돼지
model,모델
finger,손가락
medicine,약
access,입장
failed,실패한
flat,평평한
easily,용이하게
discovered,발견
based,기반을 둔
screw,나사
insane,정신 이상의
cares,신경 쓰다
weather,날씨
fingers,손가락
san,산
scott,스콧
soft,부드러운
harm,피해
style,스타일
community,지역 사회
sees,봅니다
basically,원래
signal,신호
nope,아니요
spare,여분의
speech,연설
covered,덮힌
shake,떨림
loose,헐렁한
snow,눈
russian,러시아인
lake,호수
bright,밝은
roof,지붕
sending,배상
paint,페인트
remind,상기시키다
pal,단짝
naked,적나라한
post,우편
sugar,설탕
heading,표제
streets,시가
damage,손상
silence,고요
doors,문
pete,피트
success,성공
wet,젖은
nah,아아
amount,양
members,회원
kate,케이트
manage,관리하다
safety,안전
returned,반환
harder,더 어렵다
block,차단하다
showing,전시
fancy,팬시한
chef,요리사
contract,계약
dig,파기
chest,가슴
good-bye,안녕히 가세요
drinks,음료수
dave,데이브
buried,매장
brian,브라이언
trade,거래
journey,여행
stomach,위
changes,변화
details,세부
thoughts,생각
divorce,이혼
funeral,장례식
maria,마리아
football,축구
reality,현실
theory,이론
gosh,세상에
ruined,파멸
gate,문
william,윌리엄
spread,확산
outta,outta
japanese,일본어
sudden,갑자기
coat,코트
sooner,더 빨리
cheese,치즈
larry,래리
spring,봄
page,페이지
ears,귀
simon,사이먼
castle,성
hidden,숨겨진
storm,폭풍
cos,코사인
personally,몸소
artist,아티스트
hill,언덕
exciting,신나는
permission,허가
jerry,실내 변기
expensive,값비싼
tickets,티켓
forest,숲
barely,간신히
eggs,달걀
goin,간다
regret,후회
lesson,수업
lover,애인
bread,빵
andy,앤디
subject,주제
legal,합법적인
growing,성장
ill,아픈
jason,제이슨
mood,분위기
owner,소유자
caused,원인
points,포인트들
dating,데이트
loss,손실
secretary,비서
revenge,복수
santa,산타
likely,~할 것 같은
rent,임차료
connection,연결
assistant,어시스턴트
reasons,원인
yelling,고함
painting,그림
trees,나무
doctors,의사들
rush,서두르다
foreign,외국의
rough,거친
murderer,살인자
century,세기
nights,밤
pair,쌍
runs,실행
pocket,포켓
farm,농장
matt,매트
bike,자전거
obvious,분명한
ate,먹었다
grew,성장했다
professional,전문적인
tim,팀
goodness,선량
parts,부속
alan,앨런
university,대학교
square,정사각형
grandfather,할아버지
europe,유럽
genius,천재
cases,케이스
ruin,망치다
winter,겨울
tongue,혀
memories,추억
buying,구매
cancer,암
clock,시계
ocean,대양
tour,관광
thief,도둑
bleep,호출 장치
lisa,리사
rights,진상
including,포함
competition,경쟁
smith,스미스
planned,계획된
emily,에밀리
boring,지루한
victims,피해자
mentioned,말하는
bones,뼈
plant,식물
bless,신을 하다
warning,경고
knocking,노킹
crash,충돌
bedroom,침실
lower,낮추다
groaning,신음 소리
madame,부인
defense,방어
results,결과
toilet,화장실
event,이벤트
complicated,복잡한
shape,모양
priest,성직자
royal,왕실의
cheap,값이 싼
downstairs,아래층
invite,초대하다
fortune,행운
tears,눈물
avoid,피하다
reached,도달했다
higher,더 높은
familiar,친숙한
telephone,전화
burning,타고 있는
filled,채우는
kelly,켈리
alice,앨리스
airport,공항
jobs,일자리
grown,자랐습니다
walter,월터
rachel,레이첼
giant,거대한
insurance,보험
woods,숲
scare,공황
pleased,기쁜
period,기간
political,정치적인
player,플레이어
stops,중지
secrets,비밀
laura,로라
repeat,반복하다
photos,사진
finds,찾습니다
statement,성명
suck,빨다
younger,더 젊은
china,중국
humans,인간
delicious,맛있는
particular,특정한
proper,적절한
rome,로마
belongs,속한다
attacked,공격
bath,욕조
hired,고용
site,대지
knowledge,지식
led,~ 주도의
guests,손님
celebrate,축하하다
map,지도
horn,뿔
eventually,결국
pity,연민
powers,힘
ashamed,부끄러운
assume,추정하다
glasses,안경
rise,증가
fixed,결정된
request,요구
officers,장교
pounds,파운드
data,데이터
carefully,주의하여
depends,의존합니다
waited,기다렸다
positive,긍정적인
attorney,변호사
direction,방향
families,가족들
clock,시계
doin,다
forces,힘
location,위치
walls,벽
useless,쓸모 없는
grant,승인하다
saving,절약
speaks,말한다
